ITM-023106	FALAK CHICKEN ZAIQA POWDER 20KG 
ITM-022264	FALAK CRISPY FRIED CHICKEN MIX 10KG (BULK PACK) 
ITM-017683	FALAK FRIES MASALA 75GM BOTTLE (LOCAL) NEW
ITM-017682	FALAK CHAAT MASALA 100GM BOTTLE (LOCAL) NEW
ITM-017685	FALAK ZEERA RAITA MASALA 75GM BOTTLE (LOCAL) NEW
ITM-017684	FALAK PODINA RAITA MASALA 80GM BOTTLE (LOCAL) NEW
ITM-017686	FALAK DAHI BARA MASALA 80GM BOTTLE (LOCAL) NEW
ITM-017687	FALAK PERI PERI MASALA 80GM BOTTLE (LOCAL) NEW
ITM-019151	FALAK BLACK PEPPER POWDER 75GM BOTTLE
ITM-019152	FALAK GARLIC POWDER 70GM BOTTLE
ITM-019153	FALAK GINGER POWDER 60GM BOTTLE
ITM-019308	FALAK Meat Tenderizer 100GM BOTTLE
ITM-019307	FALAK Paprika Powder 85GM BOTTLE
ITM-019312	FALAK Oregano Leaves 30GM BOTTLE
ITM-019467	FALAK ONION POWDER 60GM BOTTLE
ITM-019818	FALAK TEXAS BURGER 80GM
ITM-019816	FALAK NEW YORK STEAK 80GM
ITM-019817	FALAK NASHVILLE HOT CHICKEN 75GM
ITM-020480	FALAK CHILLI GARLIC FRIES 75GM
ITM-020481	FALAK HOT BBQ FRIES 75GM
ITM-020482	FALAK CHEESY CHATPATA FRIES 75GM 
ITM-021203	FALAK THYME LEAVES 30GM
ITM-019311	FALAK MIXED HERBS 30GM
ITM-021202	FALAK ROSEMARY LEAVES 25GM
ITM-017688	FALAK BLACK SALT 120GM BOTTLE (LOCAL) NEW
ITM-018478	LOW SODIUM SALT SHAKER BOTTLE 150 GMS
ITM-018479	ARABIAN SEA SALT SHAKER BOTTLE 150 GMS
ITM-017689	FALAK PINK SALT BOTTLE 150 GMS. NEW 
ITM-023791	FALAK GARLIC PASTE MAYO TYPE 300GM 
ITM-023793	FALAK GINGER GARLIC PASTE MAYO TYPE 300GM 
ITM-023792	FALAK GINGER PASTE MAYO TYPE 300GM 
ITM-023706	FALAK BIHARI KABAB 50GM
ITM-023748	FALAK DEGI QORMA 50GM
ITM-023750	FALAK NIHARI 50GM
ITM-023708	FALAK SEEKH KABAB 45GM
ITM-023631	FALAK BOMBAY BIRYANI MASALA 60GM 
ITM-023704	FALAK TIKKA BOTI 45GM 
ITM-023746	FALAK ACHAR GOSHT 50GM 
ITM-024054	FALAK CHICKEN TIKKA 45GM 
ITM-024014	FALAK KARACHI BIRYANI 60GM 
ITM-024015	FALAK PUNJABI PULAO 50GM 
ITM-024013	FALAK ZAFRANI BIRYANI 65GM 
ITM-024052	FALAK BUTTER CHICKEN 50GM 
ITM-024055	FALAK KARAHI 45GM 
ITM-024053	FALAK SPICY GREEN CHICKEN 50GM 
ITM-024051	FALAK WHITE KARAHI 40GM 
ITM-020578	FALAK BOMBAY BIRYANI MASALA 60GM  (FOR PROMO) 
ITM-017698	FALAK VERMICELLI 150 GRAM NEW
ITM-024211	FALAK VERMICELLI 100GM 
ITM-021820	FALAK PHENI 200GM 
ITM-018531	FALAK BAKING SYRUP 500GM
ITM-017563	FALAK DESI SHAKKAR 500 GM / 1.10 LBS
